,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
comp1,4.912802440892837,4.912802440892837,36.91193247182453,36.91193247182453
comp2,2.9469616554574394,7.859764096350276,22.141751257461973,59.053683729286504
comp3,1.6483029363619366,9.508067032712212,12.384386999499343,71.43807072878585
comp4,1.0116207088110047,10.519687741523217,7.600728044733844,79.03879877351969
comp5,0.8171810900145344,11.336868831537751,6.139822143221903,85.1786209167416
comp6,0.5454809916074143,11.882349823145166,4.098426055010982,89.27704697175258
comp7,0.4975455461651884,12.379895369310354,3.7382670731552614,93.01531404490784
comp8,0.3656830198769928,12.745578389187347,2.7475289507752585,95.7628429956831
comp9,0.26409851811597845,13.009676907303326,1.9842822470252404,97.74712524270834
comp10,0.1254933028710813,13.135170210174408,0.9428834920546356,98.69000873476297
comp11,0.09699291868738283,13.23216312886179,0.728748226273717,99.41875696103669
comp12,0.06977369162616157,13.301936820487953,0.5242388279604266,99.94299578899712
comp13,0.007586989035859871,13.309523809523812,0.05700421100288274,100.0
